機種,総差枚,総G数,総投入枚数,出現台数,集計日数,機械割(%)
この素晴らしい世界に祝福を！,6989,91731.0,275193.0,21,21,102.54
ネオアイムジャグラーEX,1790652,23995666.0,71986998.0,5356,101,102.49
L虚構推理,1713,22922.0,68766.0,4,4,102.49
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,37593,513125.0,1539375.0,99,99,102.44
Lパチスロからくりサーカス,3330,47770.0,143310.0,12,4,102.32
ニューパルサーSP4 with 太鼓の達人,30276,440990.0,1322970.0,99,99,102.29
LBパチスロ ヱヴァンゲリヲン～約束の扉～,17334,252025.0,756075.0,78,39,102.29
マイジャグラーV,1509978,22164235.0,66492705.0,4082,101,102.27
ゴーゴージャグラー３,779233,11471468.0,34414404.0,2398,101,102.26
バーサスリヴァイズ,74116,1097978.0,3293934.0,200,100,102.25
ファンキージャグラー２ＫＴ,427675,6500675.0,19502025.0,1377,100,102.19
Lソードアート・オンライン,1573,30741.0,92223.0,11,11,101.71
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,417,12304.0,36912.0,4,4,101.13
Lパチスロ戦姫絶唱シンフォギア 正義の歌,370,16955.0,50865.0,6,3,100.73
マジカルハロウィン ボーナストリガー,60,5454.0,16362.0,1,1,100.37
Lパチスロうみねこのなく頃に2,0,2509.0,7527.0,1,1,100.0
スマスロ ゴブリンスレイヤーⅡ,0,11434.0,34302.0,3,1,100.0
スマスロ 銀河英雄伝説 Die Neue These,0,4287.0,12861.0,1,1,100.0
バーニングエクスプレス,0,4362.0,13086.0,3,3,100.0
パチスロ　ディスクアップ２,0,7029.0,21087.0,1,1,100.0
新ハナビ,0,12107.0,36321.0,3,2,100.0
L戦国乙女5 業火を穿つ宿焔の双刃,0,0.0,0.0,20,1,
スマスロBIRDIE WING-Golf Girls’ Story-,0,0.0,0.0,3,1,
スロット ソードアート・オンラインⅡ,0,0.0,0.0,12,1,
