日付,source_url,機種,台番,差枚,G数,出率
2026-06-26,https://min-repo.com/3189543/,Lパチスロ閃乱カグラ2 SHINOVI MASTER,453,-1620,3457,84.4%
2026-06-26,https://min-repo.com/3189543/,スマスロとある科学の超電磁砲2,455,-2037,5062,86.6%
2026-06-26,https://min-repo.com/3189543/,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,459,-2176,2263,67.9%
2026-06-27,https://min-repo.com/3191536/,スマスロ新鬼武者3,458,8009,8230,132.4%
2026-06-27,https://min-repo.com/3191536/,Lパチスロ閃乱カグラ2 SHINOVI MASTER,453,3148,5103,120.6%
2026-06-27,https://min-repo.com/3191536/,L少女☆歌劇 レヴュースタァライト -The SLOT-,451,2546,8436,110.1%
2026-06-27,https://min-repo.com/3191536/,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,449,1111,6749,105.5%
2026-06-27,https://min-repo.com/3191536/,スマスロ ゴッドイーター リザレクション,461,602,4609,104.4%
2026-06-27,https://min-repo.com/3191536/,L虚構推理,462,185,5885,101%
2026-06-27,https://min-repo.com/3191536/,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,239,139,8807,100.5%
2026-06-27,https://min-repo.com/3191536/,忍魂参～奥義皆伝ノ章～,460,-1019,3086,89%
2026-06-27,https://min-repo.com/3191536/,スマスロとある科学の超電磁砲2,455,-1250,4156,90%
2026-06-27,https://min-repo.com/3191536/,ニューパルサーSP4 with 太鼓の達人,238,-1898,2181,71%
2026-06-27,https://min-repo.com/3191536/,スロット Re:ゼロから始める異世界生活 season2,447,-2731,3457,73.7%
2026-06-27,https://min-repo.com/3191536/,スマスロ秘宝伝,448,-3148,5226,79.9%
2026-06-27,https://min-repo.com/3191536/,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,459,-3843,8642,85.2%
2026-06-27,https://min-repo.com/3191536/,スマスロ鉄拳6,454,-4630,8889,82.6%
2026-06-28,https://min-repo.com/3193688/,L虚構推理,462,6528,6132,135.5%
2026-06-28,https://min-repo.com/3193688/,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,449,3472,4568,125.3%
2026-06-28,https://min-repo.com/3193688/,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,239,1065,6214,105.7%
2026-06-28,https://min-repo.com/3193688/,L少女☆歌劇 レヴュースタァライト -The SLOT-,451,972,8436,103.8%
2026-06-28,https://min-repo.com/3193688/,スマスロ新鬼武者3,458,185,3333,101.9%
2026-06-28,https://min-repo.com/3193688/,スマスロ鉄拳6,454,-231,6091,98.7%
2026-06-28,https://min-repo.com/3193688/,スマスロ秘宝伝,448,-880,5062,94.2%
2026-06-28,https://min-repo.com/3193688/,ニューパルサーSP4 with 太鼓の達人,238,-1111,2346,84.2%
2026-06-28,https://min-repo.com/3193688/,忍魂参～奥義皆伝ノ章～,460,-1296,3868,88.8%
2026-06-28,https://min-repo.com/3193688/,スマスロとある科学の超電磁砲2,455,-1481,2058,76%
2026-06-28,https://min-repo.com/3193688/,Lパチスロ閃乱カグラ2 SHINOVI MASTER,453,-1852,3580,82.8%
2026-06-28,https://min-repo.com/3193688/,スマスロ ゴッドイーター リザレクション,461,-4074,5679,76.1%
2026-06-28,https://min-repo.com/3193688/,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,459,-4769,4239,62.5%
2026-06-28,https://min-repo.com/3193688/,スロット Re:ゼロから始める異世界生活 season2,447,-4815,4856,66.9%
2026-06-29,https://min-repo.com/3195828/,スマスロとある科学の超電磁砲2,455,3519,1893,162%
2026-06-29,https://min-repo.com/3195828/,スマスロ ゴッドイーター リザレクション,461,694,3498,106.6%
2026-06-29,https://min-repo.com/3195828/,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,459,-370,5391,97.7%
2026-06-29,https://min-repo.com/3195828/,スマスロ鉄拳6,454,-833,3621,92.3%
2026-06-29,https://min-repo.com/3195828/,ニューパルサーSP4 with 太鼓の達人,238,-972,5885,94.5%
2026-06-29,https://min-repo.com/3195828/,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,449,-1157,1687,77.1%
2026-06-29,https://min-repo.com/3195828/,スロット Re:ゼロから始める異世界生活 season2,447,-1343,3827,88.3%
2026-06-29,https://min-repo.com/3195828/,スマスロ秘宝伝,448,-1481,1440,65.7%
2026-06-29,https://min-repo.com/3195828/,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,239,-1620,4979,89.2%
2026-06-29,https://min-repo.com/3195828/,L少女☆歌劇 レヴュースタァライト -The SLOT-,451,-2130,3045,76.7%
2026-06-29,https://min-repo.com/3195828/,スマスロ新鬼武者3,458,-2407,3909,79.5%
2026-06-29,https://min-repo.com/3195828/,Lパチスロ閃乱カグラ2 SHINOVI MASTER,453,-3241,3416,68.4%
2026-06-29,https://min-repo.com/3195828/,L虚構推理,464,-3426,4938,76.9%
2026-06-29,https://min-repo.com/3195828/,L咲-Saki-頂上決戦,450,0,0,-
2026-06-29,https://min-repo.com/3195828/,L真・一騎当千,456,0,0,-
2026-06-29,https://min-repo.com/3195828/,忍魂参～奥義皆伝ノ章～,460,0,0,-
2026-06-29,https://min-repo.com/3195828/,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,462,0,0,-
2026-06-29,https://min-repo.com/3195828/,Lパチスロガールズ＆パンツァー 最終章,465,0,0,-
2026-06-29,https://min-repo.com/3195828/,Sister Quest,466,0,0,-
2026-06-29,https://min-repo.com/3195828/,スマスロ スーパーブラックジャック,467,0,0,-
2026-06-29,https://min-repo.com/3195828/,スマスロ頭文字D 2nd,468,0,0,-
2026-06-29,https://min-repo.com/3195828/,Lルパン三世 大航海者の秘宝,470,0,0,-
2026-06-29,https://min-repo.com/3195828/,Lパチスロ ダンベル何キロ持てる？,471,0,0,-
2026-06-29,https://min-repo.com/3195828/,回胴黙示録カイジ 狂宴,472,0,0,-
2026-06-30,https://min-repo.com/3197834/,Lパチスロ閃乱カグラ2 SHINOVI MASTER,453,4398,5062,129%
2026-06-30,https://min-repo.com/3197834/,Lパチスロ ダンベル何キロ持てる？,471,2778,3745,124.7%
2026-06-30,https://min-repo.com/3197834/,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,449,1481,5144,109.6%
2026-06-30,https://min-repo.com/3197834/,忍魂参～奥義皆伝ノ章～,460,1019,3416,109.9%
2026-06-30,https://min-repo.com/3197834/,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,239,880,5844,105%
2026-06-30,https://min-repo.com/3197834/,回胴黙示録カイジ 狂宴,472,509,5473,103.1%
2026-06-30,https://min-repo.com/3197834/,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,462,231,7531,101%
2026-06-30,https://min-repo.com/3197834/,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,459,-185,2634,97.7%
2026-06-30,https://min-repo.com/3197834/,スマスロ スーパーブラックジャック,467,-185,5802,98.9%
2026-06-30,https://min-repo.com/3197834/,L咲-Saki-頂上決戦,450,-324,6296,98.3%
2026-06-30,https://min-repo.com/3197834/,スマスロ ゴッドイーター リザレクション,461,-926,1852,83.3%
2026-06-30,https://min-repo.com/3197834/,Lルパン三世 大航海者の秘宝,470,-1019,4403,92.3%
2026-06-30,https://min-repo.com/3197834/,L真・一騎当千,456,-1250,3210,87%
2026-06-30,https://min-repo.com/3197834/,スマスロ秘宝伝,448,-1296,988,56.3%
2026-06-30,https://min-repo.com/3197834/,ニューパルサーSP4 with 太鼓の達人,238,-1713,3169,82%
2026-06-30,https://min-repo.com/3197834/,機種,台番,差枚,G数,出率
2026-06-30,https://min-repo.com/3197834/,スマスロ鉄拳6,454,-1759,1564,62.5%
2026-06-30,https://min-repo.com/3197834/,Lパチスロガールズ＆パンツァー 最終章,465,-1759,3169,81.5%
2026-06-30,https://min-repo.com/3197834/,スロット Re:ゼロから始める異世界生活 season2,447,-2130,4568,84.5%
2026-06-30,https://min-repo.com/3197834/,スマスロ頭文字D 2nd,468,-2130,4897,85.5%
2026-06-30,https://min-repo.com/3197834/,L虚構推理,464,-2269,6008,87.4%
2026-06-30,https://min-repo.com/3197834/,Sister Quest,466,-2454,4239,80.7%
2026-06-30,https://min-repo.com/3197834/,L少女☆歌劇 レヴュースタァライト -The SLOT-,451,-2731,4074,77.7%
2026-06-30,https://min-repo.com/3197834/,スマスロとある科学の超電磁砲2,455,-2917,6379,84.8%
2026-06-30,https://min-repo.com/3197834/,スマスロ新鬼武者3,458,-3796,4691,73%
